Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Equation form,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Potential dryland loss without protection,SLR.2,FUND v.3.8,"Potential cumulative dryland loss without protection ,Actual cumulative dryland loss ",Potential dryland loss without protection ,,slr2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/KQ48Yl191vGvk3M8kCJ9sg/PYjMWInt6OMopD2s-e2OduHNM6C50QL7FkSYysN6KfCBN-u08HyV8Y9tNw_JaFWQCPF2TzFRznu65iglQX_nRJarAZ0kRTsfWs32o2aCrIsB6cCsqM_kZ44Cbeb7C5ySsmG-kIzWZS1xI0UJpmrDHg/VBT2uPvFhei5ocIAWHMjl6lYULyP-n41pPD3YXJlCYA),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=U2LKEDGJ))  ,Loss in terrestrial ecosystem,", Natural capital",,"\overline{{{D}}}_{t,r}=\overline{{{C D}}}_{t,r}-C D_{t-1,r}",Oui,
Actual dryland loss in the current year,SLR.3,FUND v.3.8,"Fraction of the coastline protected ,Potential dryland loss without protection ",Dryland loss in year ,,slr3.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/Wj9Fv6gFHVP8BMKdCBUPIg/hKA-XEP3gALWUvjECB6c3CRSain2uECcPYC1m3-6UmNV0roqVk2NVCtdVBgYcvQagsLaEcOekWhk5NGxXdcHb8K8o_1v6jOWbKFNBLgaw1X9esvFx-2BOnLfY5QHTwbq0q-6wJ2pT2Gjca_nKs7iow/fai5DUR8O0ynOXfCWckzkyO77HUDwrlrrHPEQN74hKY),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=XPNAQZ8K))  ,Loss in terrestrial ecosystem,,,"D_{t,r}=\left(1-P_{t,r}\right)\overline{{{D}}}_{t,r}",Oui,
Actual cumulative dryland loss,SLR.4,FUND v.3.8,"Actual cumulative dryland loss ,Dryland loss in year ",Actual cumulative dryland loss ,,slr4.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/fMNvK29zewuc8atEkXlJkw/LwMAJMKQoCPHHyYWe6OlN_hmx77-_4LB-zNf-wrFtxTPmmJs-sNAXedTBLpJjOzgtaPBWqiiIzIThUkPR3T0U9HwdM4qVucKlxQ3TFBgBN-nXpNCUcI0MYt4amWIGefS9JX0QCrX5t2qPKfWOGC6jQ/1WoYsm183vVW68uWw_FQEjvB1pff-rrUdmOTMyWCdWE),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=62EHGDDF))  ,Loss in terrestrial ecosystem,"Natural capital, ",Natural capital,"{\cal C}D_{t,r}=C D_{t-1,r}+D_{t,r}",Oui,
Value of dryland,SLR.5,FUND v.3.8,"Time,Region,Unit value of dryland ,GDP in region r at time t ,Area ,Parameter ,Normalisation constant ,Income density ",Unit value of dryland ,,slr5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/g5SLlBosritKDdfK5JmaXQ/uYNNAedSL_nvAmlARwT7DasN69ik12agxArHZMLl_DHRZ2JerCkzrisYT3nQQhT-gU1vGDCkzXuyY_7yBgHiELmEHmZkj2h6sRvRLnTCR2cWZgI41f5HrLhlMudKsqrDBxX9DqrpRYauQ5Xq_3LogQ/8vc3UmMeDnbVsWiH4L--eql3NGwNf6AUYgpZ_CltUMU),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=C2QI8ZFD))  ,Loss in terrestrial ecosystem,", GDP",,"V D_{t,r}=\varphi\!\left({\frac{Y_{t,r}/A_{t,r}}{Y A_{0}}}\right)^{\!\!6}",Oui,
Wetland loss,SLR.6,FUND v.3.8,"Time,Region,Fraction of coast protected against sea level rise ,Sea level rise above pre-industrial levels ,Parameter for annual unit wetland loss due to sea level rise ,Parameter for annual unit wetland loss due to coastal squeeze ",Wetland loss at time ,,slr6.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/eQNSG9Ud1D6tfl-zq3I8Pg/9pII9hIflDCufGYdmAFCUAHYGP3sKW-7fdzIPtUx2wd7_iRobBAP5tNW6x0D0qr2iwArp-IUkwxuS_sHWU2tLbwvvdCpEX-SMLjZzGpLOsPQpchKWr_bkwqeuYp37TbxnEXh4y_wYgTiCwmhO4mF8A/Akg-WZdktWHQrOabsYq9VfXqQzRaNE1cOCiZ7uECrvA),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=IICHUVN9))  ,Loss in freshwater ecosystem,", Sea level rise",,"\widehat{\mathcal{W}_{t,r^{\prime}}}\longrightarrow C\mathcal{O}_{r^{\prime}}^{S}\triangle\mathsf{A}_{t}\dots C\mathcal{O}_{r^{\prime}}^{M}\mathcal{D}_{t,r^{\prime}}\triangle\mathsf{A}_{t}",Oui,
Cumulative wetland loss,SLR.7,FUND v.3.8,"Cumulative wetland loss ,Total amount of wetland exposed to sea level rise ,Wetland loss at time ",Cumulative wetland loss at time ,,slr7.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/dmVy2uyslgO5Emi4FnCpfQ/Wb_XrUe_eNmcOLRXDkIUOc1shPTuAgWJZ06uxWV_rFupRi8ErZ90MM5B9nu8ZJnD0KgmLW5dbgpmRrp6kf5J-iazr37IpocskssH4qEyNermoY54IQA2YaXKB_x5oMySmZflGwfxnsPCOwVy22hvyg/WawU7DUUI7cDhMVrZvO-LGQzeNwlUrkfMaPYLfIs_Tg),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=E9BCWYSC))  ,Loss in freshwater ecosystem,,,"{\mathcal W}_{t,r}^{C}\ --\left.\mathrm{Im}^{*}\!\right.\left(\left.{\mathcal W}_{t-1,r}^{C}\right.\rightarrow\mathcal W\right._{t-1,r}^{}\left.\!-\frac{}{}_{,r}\right.\mathcal W\right._{r}^{}\frac{\lambda}{\sqrt{}_{r}^{}}\right)",Oui,
Wetland value,SLR.8,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population density ,Cumulative wetland loss at time ,Total amount of wetlands in 1990 ,Income elasticity of wetland value ,Normalisation constant ,Normalisation constant ,Population density elasticity of wetland value ,Size elasticity of wetland value ",Wetland value at time ,,slr8.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/z0Mb8cMLiRs3tidpb5-egA/lrLz0oArtlGQY2EYoiJhrCgYzBMJt94Xtx1kQo0zn8ersOZouKjAzlJstcsRvxCVp4RI-k3PF76_OJ50MQGzB3gx1Pe5eCtUudu6m4FUwLrfvwJvA02ke7FH5MpUYERCAeM_drBR2euU5BToMQDdQg/uFw4eO52NoaeMous9xusB4xlJB-zzlOpmeZPnczmaaQ),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=RZLH5GJG))  ,Loss in freshwater ecosystem,", GDP, Population",,"V W_{t,r}=\alpha\left(\frac{y_{t,r}}{y_{0}}\right)^{\beta}\left(\frac{d_{t,r}}{d_{0}}\right)^{\gamma}\left(\frac{W_{1990,r}-W_{t,r}^{C}}{W_{1990,r}}\right)^{\delta}",Oui,
Level of protection,SLR.9,FUND v.3.8,"Net present value of protection if whole coast is protected ,Net present value of the wetlands lost due to full coastal protection ,Net present value of land lost without any coastal protection ,Net present value of wetland lost due to coastal squeeze if whole coast is protected ",Fraction of coastline to be protected ,,slr9.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/aVjmbKDrmoUz4h0VDdTV5A/fzrrgcLL6WvMn9p_0Sbpaj9bqLyO4BhPNMAkxxBp99H3zE_a7uXLyOGNaJxPjjN0LRjUTKdyR_Is4t4-hw_3NQKjWIkw4g3acjK66U-hnP-HrkW09Xu-YNPXOWD8D82mjVCgKM3e5gAJIqC51RQ21w/_9q9sIM75JK4GiYNOjaH94Se0GBV3ij3r8hZ05M37WY),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=13&annotation=T5RHM6IP))  ,Coastal flooding / storm,,,"P_{t,r}=\operatorname*{max}\left\{0,1-\frac{1}{2}\left(\frac{\mathrm{NPV}V P_{t,r}+\mathrm{NPV}V W_{t,r}}{\mathrm{NPV}V D_{t,r}}\right)\right\}",Oui,
Net present cost of protection,SLR.10,FUND v.3.8,"Time,Region,Annual unit cost of coastal protection ,Sea level rise above pre-industrial levels ,Growth rate of per capita income ,Rate of pure time preference ,Consumption elasticity of marginal utility ",Net present costs of coastal protection at time ,,slr10.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/lt9vq1yehYqGG6rPfmRHug/nXjHKYMv_xio-fJ15eEfPyUx00toDU_gz9nzOc7Hknhvn70yjN8D8XmtSrEJ1ArCa0t_8Uyz-jrEyxh4H78gfARzVgxq4INai_0gbutQGxkiLnpPBR-cFa8IfPiYu44tu2E8Hw6sQjFF0eemqbOVVg/JebltoSfjrCj92CIuVYazyVD8evlIcpoX8FTUtROkjQ),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=14&annotation=MW95T7K8))  ,Coastal flooding / storm,", Sea level rise, GDP, Parameter, Consumption",,"\mathrm{NPV}{\cal P}_{t,r}=\sum_{s=t}^{\circ}\Biggl(\frac{1}{1+\rho+\eta g_{t,r}}\Biggr)^{s-t}\pi_{r}\Delta S_{t}=\frac{1+\rho+\eta g_{t,r}}{\rho+\eta g_{t,r}}\pi_{r}\Delta S_{t,s}",Oui,
Net present cost of wetland loss,SLR.11,FUND v.3.8,"Time,Region,Annual unit wetland loss due to full coastal protection ,Sea level rise above pre-industrial levels ,Growth rate of per capita income ,Population growth rate ,Growth rate of wetland ,Rate of pure time preference ,Consumption elasticity of marginal utility ,Income elasticity of wetland value ,Population density elasticity of wetland value ,Size elasticity of wetland value ",Net present value of wetland loss at time ,,slr11.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/dZCAtaIIxVM8jHFXWBi_Lg/GqmWmnWctpRsaRDaf0lQG0LSx2rpwYuUzJicvGrlA_mdEC87TzVUMc0XuHgOALJVyYkY3zmsgsz0X9Af3AeGpSzz0nn2XRTHKmv14tp07yq6L4A7DrSMiE2DpVTy54G8Zvp0pRVGc5F-do14hUaFkg/7oTGywDvTkfTkxkA5aHI32lDnrcFvA3gLGr2cx-4_5g),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=14&annotation=Z6DEIBXE))  ,Loss in freshwater ecosystem,", Natural capital, Sea level rise, GDP, Population, Parameter, Consumption",,"\left.N P V V W_{t,r}=\sum_{s=t}^{r}W_{t,r}V W_{s,r}\left(\frac{1}{1+\rho+\eta g_{t,r}}\right)^{s-t}=",Oui,
Net present cost of dryland loss,SLR.12,FUND v.3.8,"Time,Region,Current dryland loss without protection at time ,Current dryland value ,Growth rate of per capita income ,Rate of pure time preference ,Consumption elasticity of marginal utility ,Income elasticity of dryland value , Current income density growth rate ",Net present value of dryland loss at time ,,slr12.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/OPLlUGqorV6q-W86c6SOvg/GaCUJ0is1yNnoja89KObKhWNubWc7MX7EEgP8EtZn06dyu-UDKETZX5OIRZXo8F--I8PQFA_FGUHmd4NQtGlgOhdEd4ldIvQr5KvI9DB2HhtqBoaExTm1mkKZoQIld-JKXm5dn6t4ZP1Xe2phsFq_A/FuYLVc_YsiU8GcLLicLbPqjf3dOTIIHMSQlxq84VDL4),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=15&annotation=S6374B6G))  ,Loss in terrestrial ecosystem,", Natural capital, GDP, Parameter, Consumption",,"{\mathrm{NPV}}U_{t,r}=\sum_{s=t}^{\infty}{\overline{{D}}}_{t,r}V D_{t,r}\left({\frac{1+\epsilon d_{t,r}}{1+\rho+\eta g_{t,r}}}\right)^{s-t}={\overline{{D}}}_{t,r}V D_{t,r}{\frac{1+\rho+\eta g_{t,r}}{\rho+\eta g_{t,r}-\epsilon d_{t,r}}}\ .",Oui,
Ecosystem loss,E.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population in region r at time t ,Change in regional mean temperature ,Number of species ,Parameter ,Parameter ,Parameter ,Parameter for number of species ",Value of the loss of ecosystems at time ,,e.1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/-LrjOYLMwG925PARFaIEuQ/--0rMoEbARbbyj627F4DTDnBegT2sIG4QbJz18wXChImA6vXgp8fsYzTzw3hOMB_5kye-I4VQgPYGeuUHbAImLW41k5r6D0Hy7xaW-whFZM1qgR_4xGeGFK_lXQyZ7ZQQJtX-m78gusXYky37fXCpA/gRX0_nGWfP0ZJZAl8nQXMGaEts7KSJx5F-OHc-wz0oA),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=USHT735A))  ,Loss in terrestrial ecosystem,", GDP, Population, Temperature",,"E_{t,r}=\alpha P_{t,r}{\frac{y_{t,}^{\prime}{\cal Y}_{y}^{b}}{1+{\bf y}_{t,r}{\cal Y}_{y,r}}}{\frac{\Delta{\cal T}_{r}}{1+{\bf\bar{\Delta}}{2}{\cal Y}_{\tau}^{\prime}}}\bigg(1-\sigma+\sigma{\frac{B_{0}}{B_{t}^{\prime}}}\bigg)",Oui,
Number of species,E.2,FUND v.3.8,"Number of species ,Parameter ,Parameter ,Change in regional mean temperature ",Number of species ,,e.2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/JNzjQvH8O62U_WswH9myCA/Tj4w7t5_pctBICCETzUpjnMwGGG45eO3RvRHx_ZINqVvmVzG9d4XyofzgJaOAxw13uKnLYJ2s8hE8xY1LAGzqNETaUBbnqgHiEIuh_41ydjyNHfhGbG9j4IiSrohDsW2FNHs7tPr0nYvY0NJ0h1gDg/lZ9ur93O10U_VS3VtjiSyXQbXWem7-Kvyz9Fr7o3Q6Q),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=C8CYP6ED))  ,Loss in terrestrial ecosystem,", Temperature",,"S H_{t,r}=\alpha_{r}Y_{1990,r}\frac{\mathrm{atan}\,T_{t}}{\mathrm{atan}\,1.0}\biggl(\frac{y_{t,r}}{y_{1990,r}}\biggr)^{\epsilon}\biggl(\frac{P_{t,r}}{P_{1990,r}}\biggr)^{\epsilon}\biggl\langle\prod_{s=19900}^{t}\biggr\}^{\epsilon}\frac{\ln^{2}{\pi^{2}\pi^{2}\pi^{2}\pi^{2}\pi^{2}\pi^{2}\rangle_{t}}\,\biggl(\frac{y_{t,r}}{p_{t}-\epsilon_{r}^{2}\sqrt{2\pi_{t}\pi_{t}}^{2}\biggr)^{2}}{\epsilon_{t}^{2}-\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}-\biggl)_{t}^{2}}_{t}\,{\epsilon_{t}{t}{t}{\mu}}\,\biggr)\,\,\rho_{\biggr)\,\,\frac{t}\,\biggl(\biggr",Oui,
Human health : diarrhoea,HD.1,FUND v.3.8,"Region,Population in region r at time t ,Time,Gross domestic product per capita,Regional mean temperature in degrees Celsius ,Rate of mortality from diarrhoea in 2000 in region r ,Income elasticity of diarrhoea mortality ,Parameter for non-linearity of response of diarrhoea mortality to regional warming ",Number of additional diarrhoea deaths ,,hd1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/Beov986J-kL80VdEMq8F-w/twxKPx6DEf6GT6tqg0s5SQ3jsejJSgbtNx3hCe7ickAGdoCx9L8c5a_d7LMh_tvMkzYoM_SEmJn1lyLylnGWRb3pO2YJck_MhaVXRM0bzwzRjBD_av5ThmjrimVa8Ril-s57frqTAOHZyXbDy6atDA/y9_hTxdFDNcjd9ZUgGQSumLTvUfZs1kRUFmBvcFtkvg),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=IVEG9QJP))  ,"Food-borne diseases,Water-borne diseases",", Population, GDP, Temperature, Mortality",,"D_{t,r}^{d}=\mathcal{A}_{r}^{d}P_{t,r}\left(\frac{\mathcal{V}_{t,r}}{\mathcal{V}_{1990,r}}\right)^{s}\left(\frac{T_{t,r}}{\mathcal{V}_{p r e-i n d u s t r i a l,r}}\right)^{p}",Oui,
