Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Potential dryland loss without protection,SLR.2,FUND v.3.8,"Potential cumulative dryland loss without protection ,Actual cumulative dryland loss ",Potential dryland loss without protection ,,slr2.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/QCIupN7SUatiL4jz0gDUcg/V4DRJsjXZD-BzHjhs2VAl78QlcSmOpoA0XRREU3M4qSGnRbq_FaBg2l1Bsxn-eCeZy2mlMOFjJdy-o4DdLi71A1HYcfjviL6paSBKy8LGNMXFkD_JvGz9lZyE0EAYUDX2_OTjMAocX4XRYxJeJWwuQ/GCuKfuyPTjMfgracrnV5VFGA9MoW6AI9VS2DtC-PHmM),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=U2LKEDGJ))  ,Loss in terrestrial ecosystem,", Natural capital",,"\overline{{{D}}}_{t,r}=\overline{{{C D}}}_{t,r}-C D_{t-1,r}",Oui,
Actual dryland loss in the current year,SLR.3,FUND v.3.8,"Fraction of the coastline protected ,Potential dryland loss without protection ",Dryland loss in year ,,slr3.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/2jIALZoX5SrqP81s9SgEOQ/rSaXWEaKkssNyN6U-WYqkggSpZrfUWlz3L8UkjZ079N9YPj_bP8LGCjjgXMn3R_CmHtRSwNxlXhwUKOSBiLuVeMlaU_S3IIvpkJaEg329DwZ2r_kPdnI9QbbQHqg25cZM867neox-Mn55qTx8NZlYQ/xwe9TbEgvO25hrGM0f8ZEZ4QAqwSNq2P8XD97Mm99w0),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=XPNAQZ8K))  ,Loss in terrestrial ecosystem,,,"D_{t,r}=\left(1-P_{t,r}\right)\overline{{{D}}}_{t,r}",Oui,
Actual cumulative dryland loss,SLR.4,FUND v.3.8,"Actual cumulative dryland loss ,Dryland loss in year ",Actual cumulative dryland loss ,,slr4.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/S6NCFG076UdeFQ6bEDTLCQ/BEUTpugLeU-4b2IvOoeBhWG1lHFqL29ONZO4nPOft0ORRPd9AAxsyNyd0EcCv5M1lu23XTtTi9xltbrfALXnvam0zoEYs8Pz_g0p_Vu1mWq-SdJ-0cq7rJ3EnEt_ztpujjgSQNPnfwDz_4mDftyaww/3u0bpO6-xfDBl__TfcvFvGRxz5VQ08Bp0qLfhSzWZlk),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=62EHGDDF))  ,Loss in terrestrial ecosystem,"Natural capital, ",Natural capital,"{\cal C}D_{t,r}=C D_{t-1,r}+D_{t,r}",Oui,
Value of dryland,SLR.5,FUND v.3.8,"Time,Region,Unit value of dryland ,GDP in region r at time t ,Area ,Parameter ,Normalisation constant ,Income density ",Unit value of dryland ,,slr5.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/zXp7uSE8bWVtD3mV9i_7XA/G1mBUmpiV3Ewa3fTcXSdLw280O_7fE3KGEI_vFMA9N2IT2_wscBLYVWWt7LZq-o3wRFJ2MBVGn0uZZGR1pmZ8nl3V2JX_1iv8muRypDaxjwTfjZTL2WgegavIn4qNp5P0nPY6Xi6v3YE7FluqCpNnw/-owiKSrqw7cMveY0iuKdorTcFubtlRj1hGI49PU4S9E),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=C2QI8ZFD))  ,Loss in terrestrial ecosystem,", GDP",,"V D_{t,r}=\varphi\!\left({\frac{Y_{t,r}/A_{t,r}}{Y A_{0}}}\right)^{\!\!6}",Oui,
Wetland loss,SLR.6,FUND v.3.8,"Time,Region,Fraction of coast protected against sea level rise ,Sea level rise above pre-industrial levels ,Parameter for annual unit wetland loss due to sea level rise ,Parameter for annual unit wetland loss due to coastal squeeze ",Wetland loss at time ,,slr6.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/DRCTkU1ecI2ifJSnOuYKGg/paTLT8lb4ElpbPM8nok3XpI4VU_FWBPyVEOEPWpDkrgbaGJ3weq9w6Hcu0C4a_sxd8NIneoQPEeBbHqO-uIC76E2D3G_5WY3OZQSATq6KHSzwmJMSa408slizyuq4EbvXJLyS2D_-ffYcwDYqhjBpQ/Q9wJqjneeaCyn8mjAQdOjIu2kUEFC5P92KO4YseL1qs),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=IICHUVN9))  ,Loss in freshwater ecosystem,", Sea level rise",,"\widehat{\mathcal{W}_{t,r^{\prime}}}\longrightarrow C\mathcal{O}_{r^{\prime}}^{S}\triangle\mathsf{A}_{t}\dots C\mathcal{O}_{r^{\prime}}^{M}\mathcal{D}_{t,r^{\prime}}\triangle\mathsf{A}_{t}",Oui,
Cumulative wetland loss,SLR.7,FUND v.3.8,"Cumulative wetland loss ,Total amount of wetland exposed to sea level rise ,Wetland loss at time ",Cumulative wetland loss at time ,,slr7.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/Z3e9HuMvoM2pB-ujM5ZHkQ/fZApuU8rrfDNXfCjXqYvzfMRvrueEsDyUpuCUZH2_iR9HDz8TAHA_U766QliS1EqbC6yUjimQkPUjzmBR9PtPtVy-c6vLyqPZsr8L5SEhwy6PR6ZoSl0uCbjrWVbz1VMXPikXRQPnybniQZzadEqkA/6DQc_0dITzWY7ic02nPUcF3bp_-HrxENVey99B3B4Wk),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=E9BCWYSC))  ,Loss in freshwater ecosystem,,,"{\mathcal W}_{t,r}^{C}\ --\left.\mathrm{Im}^{*}\!\right.\left(\left.{\mathcal W}_{t-1,r}^{C}\right.\rightarrow\mathcal W\right._{t-1,r}^{}\left.\!-\frac{}{}_{,r}\right.\mathcal W\right._{r}^{}\frac{\lambda}{\sqrt{}_{r}^{}}\right)",Oui,
Wetland value,SLR.8,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population density ,Cumulative wetland loss at time ,Total amount of wetlands in 1990 ,Income elasticity of wetland value ,Normalisation constant ,Normalisation constant ,Population density elasticity of wetland value ,Size elasticity of wetland value ",Wetland value at time ,,slr8.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/Lqrld_b9PE8-FHeEAaRzGg/R6Ii2NXwhMUgLOe7BA7NyaGw_hTnRDmsYL2KhexLOz_wPSUvbR1f6L19Es1Jq57v0S2hp53UBAY9iWf3ujMx7L0PWUmIiHhP7jKvInUO-MxBWgH5GxEGNe17oLWO9pXf3haCvnGf3hfDsIM-3n-x0A/E3rIK-j3spKl2LJOIDN3mLD1ZTzDQZzAihhiYQ6Rk4o),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=RZLH5GJG))  ,Loss in freshwater ecosystem,", GDP, Population",,"V W_{t,r}=\alpha\left(\frac{y_{t,r}}{y_{0}}\right)^{\beta}\left(\frac{d_{t,r}}{d_{0}}\right)^{\gamma}\left(\frac{W_{1990,r}-W_{t,r}^{C}}{W_{1990,r}}\right)^{\delta}",Oui,
Level of protection,SLR.9,FUND v.3.8,"Net present value of protection if whole coast is protected ,Net present value of the wetlands lost due to full coastal protection ,Net present value of land lost without any coastal protection ,Net present value of wetland lost due to coastal squeeze if whole coast is protected ",Fraction of coastline to be protected ,,slr9.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/RHXlctz6sQfpKN7-kr-LhA/oiwjK49_r6drC4osod0garNH3HvE3IMKTRu9U8OpVnJT1N-QQ07aLyG6QLO2bMS2yasQjiHKZGKvedpSAqIfuNA81lm4VJEK9aeJ0GaeyOq8OAWh18dJz3Kc0wyOKAPCzgxbpEnmLH5_otnphaAb5w/XqX7HDpcwBxPeiJCDSFEN45l_75FLukilrQbI1yN4E4),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=13&annotation=T5RHM6IP))  ,Coastal flooding / storm,,,"P_{t,r}=\operatorname*{max}\left\{0,1-\frac{1}{2}\left(\frac{\mathrm{NPV}V P_{t,r}+\mathrm{NPV}V W_{t,r}}{\mathrm{NPV}V D_{t,r}}\right)\right\}",Oui,
Net present cost of protection,SLR.10,FUND v.3.8,"Time,Region,Annual unit cost of coastal protection ,Sea level rise above pre-industrial levels ,Growth rate of per capita income ,Rate of pure time preference ,Consumption elasticity of marginal utility ",Net present costs of coastal protection at time ,,slr10.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/jX31sPH5BTmBUFIWpiaVgQ/GTIMplLeX4TTd75mw-Z579sywI6X4lT4xDAMFuckaGdoJ2z4xL1kX0xPZTX2kkBSoo_f-N7azFIzWjL-61bMHIkhgrB178KrJk5OW1sqXqJY8LkN4yFeHSqfpJROuPVbmpv7CBWXsNb-E6IpnLY90Q/_N3UxX6QIDUFROrtYaefMDtZGlMr3O1wYJvNQ5mirUk),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=14&annotation=MW95T7K8))  ,Coastal flooding / storm,", Sea level rise, GDP, Parameter, Consumption",,"\mathrm{NPV}{\cal P}_{t,r}=\sum_{s=t}^{\circ}\Biggl(\frac{1}{1+\rho+\eta g_{t,r}}\Biggr)^{s-t}\pi_{r}\Delta S_{t}=\frac{1+\rho+\eta g_{t,r}}{\rho+\eta g_{t,r}}\pi_{r}\Delta S_{t,s}",Oui,
Net present cost of wetland loss,SLR.11,FUND v.3.8,"Time,Region,Annual unit wetland loss due to full coastal protection ,Sea level rise above pre-industrial levels ,Growth rate of per capita income ,Population growth rate ,Growth rate of wetland ,Rate of pure time preference ,Consumption elasticity of marginal utility ,Income elasticity of wetland value ,Population density elasticity of wetland value ,Size elasticity of wetland value ",Net present value of wetland loss at time ,,slr11.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/j7oF7XmvNSfOLVnygWxuBQ/vWIVqT3iTtrXSu0sXb07X_FzephsH1H8_Hd0ceWEiQEMg6AOt82NwB5cvyaUw7Wfwx8qiwlYP5aKwN8BFPQLaGZzqiQLyuImrc-a2LxGIB2J7HD-YsM-xhWkzKrawITT2al2_itJa8MY65tSgINNZw/gafSfLYDrQSDSyJWtles2_kgqmFO-NQ72SVmVWD4I9o),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=14&annotation=Z6DEIBXE))  ,Loss in freshwater ecosystem,", Natural capital, Sea level rise, GDP, Population, Parameter, Consumption",,"\left.N P V V W_{t,r}=\sum_{s=t}^{r}W_{t,r}V W_{s,r}\left(\frac{1}{1+\rho+\eta g_{t,r}}\right)^{s-t}=",Oui,
Net present cost of dryland loss,SLR.12,FUND v.3.8,"Time,Region,Current dryland loss without protection at time ,Current dryland value ,Growth rate of per capita income ,Rate of pure time preference ,Consumption elasticity of marginal utility ,Income elasticity of dryland value , Current income density growth rate ",Net present value of dryland loss at time ,,slr12.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/xgxP-kV4BILHYsMiCggh0Q/m5BvW5vtHF-foUpWYF6waBUI0MpMwFlp-AkvEKAag1gobeAEjibRE_rvDvl8FxWEWMIAqGt93MXeFA01FMFnC5mHCg3nT-8pppyYVzINjPTzWSTMbnJCIXTKlzhRsJmkuItYFCgB5OSgS-J2kZ1VHQ/PdY6kh9Ag0BM2pqP9CD-j_Olmkg5cq1NqpVGWHZbBrc),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=15&annotation=S6374B6G))  ,Loss in terrestrial ecosystem,", Natural capital, GDP, Parameter, Consumption",,"{\mathrm{NPV}}U_{t,r}=\sum_{s=t}^{\infty}{\overline{{D}}}_{t,r}V D_{t,r}\left({\frac{1+\epsilon d_{t,r}}{1+\rho+\eta g_{t,r}}}\right)^{s-t}={\overline{{D}}}_{t,r}V D_{t,r}{\frac{1+\rho+\eta g_{t,r}}{\rho+\eta g_{t,r}-\epsilon d_{t,r}}}\ .",Oui,
Ecosystem loss,E.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population in region r at time t ,Change in regional mean temperature ,Number of species ,Parameter ,Parameter ,Parameter ,Parameter for number of species ",Value of the loss of ecosystems at time ,,e.1.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/31iYzeiK7955tluGZCBWIw/wnPFlJVa7Kl0Zw2WbRkxwR0mKqQGrmjPRgEIX4XXBDS_e078GUK9xw8YNYPMVIF_l-xvvsqKq55qjOpqdZeQSYNnT9NHj1rGEfRmjJ5SL64VhOAJrvMWGrkXdVr7-pW9n21Cjtr1EOWZDu2g2GCLUA/_x5464qxD875e4mFe3ffL_YJGVzpNJIyHm1vCt5y51c),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=USHT735A))  ,Loss in terrestrial ecosystem,", GDP, Population, Temperature",,"E_{t,r}=\alpha P_{t,r}{\frac{y_{t,}^{\prime}{\cal Y}_{y}^{b}}{1+{\bf y}_{t,r}{\cal Y}_{y,r}}}{\frac{\Delta{\cal T}_{r}}{1+{\bf\bar{\Delta}}{2}{\cal Y}_{\tau}^{\prime}}}\bigg(1-\sigma+\sigma{\frac{B_{0}}{B_{t}^{\prime}}}\bigg)",Oui,
Number of species,E.2,FUND v.3.8,"Number of species ,Parameter ,Parameter ,Change in regional mean temperature ",Number of species ,,e.2.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/ET0HVCF187KOCaZyBtmudw/h3t1Ui7RuNIG7qZfOqJaGbdJhoAfXgYph_K_dDe90Jc1bP0CRJVMKNKsM5nYJXWxy_fAdcfRcNY-T8TTlH62HFimnbLRR0gibp60bIeSvFXyPAeEkXQlKIqMwaTNtR2d2G5CiziFlKCxzX-mmwYc1A/5vX-XDd5kIfEyeDJXUVbCESoy03OEgPfQsF15XzR9mU),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=C8CYP6ED))  ,Loss in terrestrial ecosystem,", Temperature",,"S H_{t,r}=\alpha_{r}Y_{1990,r}\frac{\mathrm{atan}\,T_{t}}{\mathrm{atan}\,1.0}\biggl(\frac{y_{t,r}}{y_{1990,r}}\biggr)^{\epsilon}\biggl(\frac{P_{t,r}}{P_{1990,r}}\biggr)^{\epsilon}\biggl\langle\prod_{s=19900}^{t}\biggr\}^{\epsilon}\frac{\ln^{2}{\pi^{2}\pi^{2}\pi^{2}\pi^{2}\pi^{2}\pi^{2}\rangle_{t}}\,\biggl(\frac{y_{t,r}}{p_{t}-\epsilon_{r}^{2}\sqrt{2\pi_{t}\pi_{t}}^{2}\biggr)^{2}}{\epsilon_{t}^{2}-\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}-\biggl)_{t}^{2}}_{t}\,{\epsilon_{t}{t}{t}{\mu}}\,\biggr)\,\,\rho_{\biggr)\,\,\frac{t}\,\biggl(\biggr",Oui,
Human health : diarrhoea,HD.1,FUND v.3.8,"Region,Population in region r at time t ,Time,Gross domestic product per capita,Regional mean temperature in degrees Celsius ,Rate of mortality from diarrhoea in 2000 in region r ,Income elasticity of diarrhoea mortality ,Parameter for non-linearity of response of diarrhoea mortality to regional warming ",Number of additional diarrhoea deaths ,,hd1.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/fe39l7IziD4tXklks0filw/lArZPArrHyjhzxyyTOOMSGVmu2v7RwDgTVAaJfrbZE7fgwnT2_hw6it5AXmroIw89KgASZISIdEtXxd32pNQT6MdQtD5D5K5BOc2uO8EtLzfH72Qh8N6lSqA_n-5zMVDRQDul_OzglFo8iQGVfQIXQ/RNwNKSfxsbaPtIjBgH9FLj1MVtJk49YZSOCF7BH_1r0),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=IVEG9QJP))  ,"Food-borne diseases,Water-borne diseases",", Population, GDP, Temperature, Mortality",,"D_{t,r}^{d}=\mathcal{A}_{r}^{d}P_{t,r}\left(\frac{\mathcal{V}_{t,r}}{\mathcal{V}_{1990,r}}\right)^{s}\left(\frac{T_{t,r}}{\mathcal{V}_{p r e-i n d u s t r i a l,r}}\right)^{p}",Oui,
