Region_WILIAM,Region_FUND_code,Region_FUND_name,Countries,ISO
,SIS,Small Island States,Haiti,HTI
,CAM,Central America,Honduras,HND
,CHI,China plus,Hong Kong,HKG
HUNGARY,CEE,Central and Eastern Europe,Hungary,HUN
INDIA,,,,
,WEU,Western Europe,Iceland,ISL
,SAS,South Asia,India,IND
,SEA,Southeast Asia,Indonesia,IDN
,MDE,Middle East,Iran,IRN
,MDE,Middle East,Iraq,IRQ
IRELAND,WEU,Western Europe,Ireland,IRL
,MDE,Middle East,Israel,ISR
ITALY,WEU,Western Europe,Italy,ITA
,SIS,Small Island States,Jamaica,JAM
,JPK,Japan and South Korea,Japan,JPN
,MDE,Middle East,Jordan,JOR
,FSU,Former Soviet Union,Kazakhstan,KAZ
,SSA,Sub-Saharan Africa,Kenya,KEN
,SIS,Small Island States,Kiribati,KIR
,MDE,Middle East,Kuwait,KWT
,FSU,Former Soviet Union,Kyrgyzstan,KGZ
LATAM,,,,
LROW,,,,
,SEA,Southeast Asia,Laos,LAO
LATVIA,FSU,Former Soviet Union,Latvia,LVA
,MDE,Middle East,Lebanon,LBN
,SSA,Sub-Saharan Africa,Lesotho,LSO
,SSA,Sub-Saharan Africa,Liberia,LBR
,NAF,North Africa,Libya,LBY
,WEU,Western Europe,Liechtenstein,LIE
LITHUANIA,FSU,Former Soviet Union,Lithuania,LTU
LUXEMBOURG,WEU,Western Europe,Luxembourg,LUX
,CHI,China plus,Macau,
,SSA,Sub-Saharan Africa,Madagascar,MDG
,SSA,Sub-Saharan Africa,Malawi,MWI
,SEA,Southeast Asia,Malaysia,MYS
,SIS,Small Island States,Maldives,MDV
,SSA,Sub-Saharan Africa,Mali,MLI
MALTA,WEU,Western Europe,Malta,MLT
,SIS,Small Island States,Marshall Islands,MHL
,SIS,Small Island States,Martinique,MTQ
,SSA,Sub-Saharan Africa,Mauritania,MRT
,SIS,Small Island States,Mauritius,MUS
,CAM,Central America,Mexico,MEX
,SIS,Small Island States,Micronesia,FSM
,FSU,Former Soviet Union,Moldova,MDA
,WEU,Western Europe,Monaco,MCO
,CHI,China plus,Mongolia,MNG
,NAF,North Africa,Morocco,MAR
,SSA,Sub-Saharan Africa,Mozambique,MOZ
,SEA,Southeast Asia,Myanmar,MMR
,SSA,Sub-Saharan Africa,Namibia,NAM
,SIS,Small Island States,Nauru,NRU
,SAS,South Asia,Nepal,NPL
NETHERLANDS,WEU,Western Europe,Netherlands,NLD
,SIS,Small Island States,Netherlands Antilles,NLD
,SIS,Small Island States,New Caledonia,NCL
,ANZ,Australia and New Zealand,New Zealand,NZL
,CAM,Central America,Nicaragua,NIC
,SSA,Sub-Saharan Africa,Niger,NER
,SSA,Sub-Saharan Africa,Nigeria,NGA
,CHI,China plus,North Korea,PRK
,WEU,Western Europe,Norway,NOR
,MDE,Middle East,Oman,OMN
,SAS,South Asia,Pakistan,PAK
,SIS,Small Island States,Palau,PLW
,CAM,Central America,Panama,PAN
,SEA,Southeast Asia,Papua New Guinea,PNG
,SAM,South America,Paraguay,PRY
,SAM,South America,Peru,PER
,SEA,Southeast Asia,Philippines,PHL
POLAND,CEE,Central and Eastern Europe,Poland,POL
PORTUGAL,WEU,Western Europe,Portugal,PRT
,SIS,Small Island States,Puerto Rico,PRI
,MDE,Middle East,Qatar,QAT
RUSSIA,,,,
,SIS,Small Island States,Reunion,REU
ROMANIA,CEE,Central and Eastern Europe,Romania,ROU
,FSU,Former Soviet Union,Russia,RUS
,SSA,Sub-Saharan Africa,Rwanda,RWA
,SIS,Small Island States,Samoa,WSM
,WEU,Western Europe,San Marino,SMR
,SIS,Small Island States,Sao Tome and Principe,STP
,MDE,Middle East,Saudi Arabia,SAU
,SSA,Sub-Saharan Africa,Senegal,SEN
,SIS,Small Island States,Seychelles,SYC
,SSA,Sub-Saharan Africa,Sierra Leone,SLE
,SEA,Southeast Asia,Singapore,SGP
SLOVAKIA,CEE,Central and Eastern Europe,Slovakia,SVK
SLOVENIA,CEE,Central and Eastern Europe,Slovenia,SVN
,SIS,Small Island States,Solomon Islands,SLB
,SSA,Sub-Saharan Africa,Somalia,SOM
,SSA,Sub-Saharan Africa,South Africa,ZAF
,JPK,Japan and South Korea,South Korea,KOR
SPAIN,WEU,Western Europe,Spain,ESP
,SAS,South Asia,Sri Lanka,LKA
,SIS,Small Island States,St Kitts and Nevis,KNA
,SIS,Small Island States,St Lucia,LCA
,SIS,Small Island States,St Vincent and Grenadines,VCT
,SSA,Sub-Saharan Africa,Sudan,SDN
,SAM,South America,Suriname,SUR
,SSA,Sub-Saharan Africa,Swaziland,SWZ
SWEDEN,WEU,Western Europe,Sweden,SWE
,WEU,Western Europe,Switzerland,CHE
,MDE,Middle East,Syria,SYR
,SEA,Southeast Asia,Taiwan,TWN
,FSU,Former Soviet Union,Tajikistan,TJK
,SSA,Sub-Saharan Africa,Tanzania,TZA
,SEA,Southeast Asia,Thailand,THA
,SSA,Sub-Saharan Africa,Togo,TGO
,SIS,Small Island States,Tonga,TON
,SIS,Small Island States,Trinidad and Tobago,TTO
,NAF,North Africa,Tunisia,TUN
,MDE,Middle East,Turkey,TUR
,FSU,Former Soviet Union,Turkmenistan,TKM
,SIS,Small Island States,Tuvalu,TUV
UK,,,,
USMCA,,,,
,SSA,Sub-Saharan Africa,Uganda,UGA
,FSU,Former Soviet Union,Ukraine,UKR
,MDE,Middle East,United Arab Emirates,ARE
,WEU,Western Europe,United Kingdom,GBR
,USA,USA,United States of America,USA
,SAM,South America,Uruguay,URY
,FSU,Former Soviet Union,Uzbekistan,UZB
,SIS,Small Island States,Vanuatu,VUT
,SAM,South America,Venezuela,VEN
,SEA,Southeast Asia,Vietnam,VNM
,SIS,Small Island States,Virgin Islands,VIR
,MDE,Middle East,West Bank and Gaza,BES
,NAF,North Africa,Western Sahara,ESH
,MDE,Middle East,Yemen,YEM
,CEE,Central and Eastern Europe,Yugoslavia,LVA
,SSA,Sub-Saharan Africa,Zambia,ZMB
,SSA,Sub-Saharan Africa,Zimbabwe,ZWE
