Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Equation form,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Actual cumulative dryland loss,SLR.4,FUND v.3.8,"Actual cumulative dryland loss ,Dryland loss in year ",Actual cumulative dryland loss ,,slr4.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/IkK4BqLx5tzCYRUXimP-JQ/zBBKiOAlh6PoTevpFk7xwKxG1q1HcOmnkbyGEgV52ukfDqScu2z9k2ljMoLrkpIjVqlGZYsDWvZNi_hXR0MngKUxJ01qJerUyLjsoy640HNsOJyTSwSlI26OrRYBgU3ebIH_T037A-iEmu1_inRyIw/aXzOrUU9-Ti7grBwwpD_riiSS5Lt00nxkgCli6RZsv8),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=62EHGDDF))  ,Loss in terrestrial ecosystem,"Natural capital, ",Natural capital,"{\cal C}D_{t,r}=C D_{t-1,r}+D_{t,r}",Oui,
Value of dryland,SLR.5,FUND v.3.8,"Time,Region,Unit value of dryland ,GDP in region r at time t ,Area ,Parameter ,Normalisation constant ,Income density ",Unit value of dryland ,,slr5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/EH73beJh4gAn76-LBt7EaQ/lUkON46ewBfJtd-_abavWp6-sjM6PKqDu_f-rIapCen-cIb7pYlHVgeiFtVWfvZ0v0xjUxgCYY15G8PhHZXcwjPkSOH-YlygnUBV67y9jMDkpV-88FcO5RFw4tI919xBLtG6R53JnlTlua-dMMwvtw/t-w0N-_Krcncd0Em49PHQeEC51SlkU4vuYmZy6YNpdI),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=C2QI8ZFD))  ,Loss in terrestrial ecosystem,", GDP",,"V D_{t,r}=\varphi\!\left({\frac{Y_{t,r}/A_{t,r}}{Y A_{0}}}\right)^{\!\!6}",Oui,
Wetland loss,SLR.6,FUND v.3.8,"Time,Region,Fraction of coast protected against sea level rise ,Sea level rise above pre-industrial levels ,Parameter for annual unit wetland loss due to sea level rise ,Parameter for annual unit wetland loss due to coastal squeeze ",Wetland loss at time ,,slr6.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/ZojvsWSBoF7V_I6apCoW6g/4bARV5a-FVv8bhe--y-_t7PJ5V6SPaoP9_V20Ek36GhNOuknPDFBF0pySEcJC9IFcvd4qBzszqW5R_IRk0rP2joD-VefoJ7I_XLYR7_rvTnA3cHCaeiiAJY1awRwg_zOkcqXtIEPfBcyMwgNKus3sQ/VcdlalYerod1w7xYwCw2wJQJMXcf8vfPuqVvqqvIGfs),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=IICHUVN9))  ,Loss in freshwater ecosystem,", Sea level rise",,"\widehat{\mathcal{W}_{t,r^{\prime}}}\longrightarrow C\mathcal{O}_{r^{\prime}}^{S}\triangle\mathsf{A}_{t}\dots C\mathcal{O}_{r^{\prime}}^{M}\mathcal{D}_{t,r^{\prime}}\triangle\mathsf{A}_{t}",Oui,
Cumulative wetland loss,SLR.7,FUND v.3.8,"Cumulative wetland loss ,Total amount of wetland exposed to sea level rise ,Wetland loss at time ",Cumulative wetland loss at time ,,slr7.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/ZicS1Y_opdJB8a8sksKn2g/C42v-fw7FLmmP9_ijZXNer2veObY1RaV_bT663uDYCkCffPYIHOXolNJ8vsc3OkTJN7sfPQ7qSl2ovynHDewV3gj9pUvYLpCulxRuY6Oo9iW09iOZq2piurfjtZ-5dOhcPOVkisH4B81pZUwKicC8A/eYyvbucSlXxIm9FFXzq4vDgsXIcIoaUqOYzD3CcUU8w),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=E9BCWYSC))  ,Loss in freshwater ecosystem,,,"{\mathcal W}_{t,r}^{C}\ --\left.\mathrm{Im}^{*}\!\right.\left(\left.{\mathcal W}_{t-1,r}^{C}\right.\rightarrow\mathcal W\right._{t-1,r}^{}\left.\!-\frac{}{}_{,r}\right.\mathcal W\right._{r}^{}\frac{\lambda}{\sqrt{}_{r}^{}}\right)",Oui,
Wetland value,SLR.8,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population density ,Cumulative wetland loss at time ,Total amount of wetlands in 1990 ,Income elasticity of wetland value ,Normalisation constant ,Normalisation constant ,Population density elasticity of wetland value ,Size elasticity of wetland value ",Wetland value at time ,,slr8.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/xiQW7M8eLKOcXK_pWG13nQ/r7l_eYoyNBERlEvZ1QY_cxQkRLVccQVG-2iHYjpu948-MuUO_EezoBrQkgTkGdGSoahSUKX5sqEiNillBZZdYqFQXX-CYH79mV5HAJCkWqaFuTXoopjZs7CwjaJA_blP33TpkMOw-SrGKugd7UR53A/EakNM0HKZ7QdWJBh49XFNC3bEPzLzM4oA-Nt6JxOY-s),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=RZLH5GJG))  ,Loss in freshwater ecosystem,", GDP, Population",,"V W_{t,r}=\alpha\left(\frac{y_{t,r}}{y_{0}}\right)^{\beta}\left(\frac{d_{t,r}}{d_{0}}\right)^{\gamma}\left(\frac{W_{1990,r}-W_{t,r}^{C}}{W_{1990,r}}\right)^{\delta}",Oui,
Level of protection,SLR.9,FUND v.3.8,"Net present value of protection if whole coast is protected ,Net present value of the wetlands lost due to full coastal protection ,Net present value of land lost without any coastal protection ,Net present value of wetland lost due to coastal squeeze if whole coast is protected ",Fraction of coastline to be protected ,,slr9.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/ahZgMRwzW70zOLRrdsyD1g/LBvqM7s_Rc8kjScDkUi-vF4Ay53gMHKRxTxLjNAUNWh2JAGdgzN8EzAP5sMZlREFE-WN9AOPyKocWZlyA9eGOFh9Fdg0Tc_KtELodORRfhwBiT_tFdNyxIg9Y4v7bh9l3QshaJEkVeE0UBPLp1ev9Q/dHcvUGZxEfQysd_PoVNdYXpfJP-bDQHmLE8aZ-oASAg),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=13&annotation=T5RHM6IP))  ,Coastal flooding / storm,,,"P_{t,r}=\operatorname*{max}\left\{0,1-\frac{1}{2}\left(\frac{\mathrm{NPV}V P_{t,r}+\mathrm{NPV}V W_{t,r}}{\mathrm{NPV}V D_{t,r}}\right)\right\}",Oui,
Net present cost of protection,SLR.10,FUND v.3.8,"Time,Region,Annual unit cost of coastal protection ,Sea level rise above pre-industrial levels ,Growth rate of per capita income ,Rate of pure time preference ,Consumption elasticity of marginal utility ",Net present costs of coastal protection at time ,,slr10.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/6-jSJ9ly0EnIRyjdCf-3mQ/ZRvfF5JSVYXRoO9CDHodikPiFVAw42nQFgCjFiTz79bUY7GNDCoWjFNAcRPqBcxyV3n0fb_ldHhj2uPEVyPCDzzaTrv8gZjxriR3y0OxeR926NZrnnAsIqw6nKHRYh9cyEqlanxAYrtkAa6XFFSbOw/L-0-dCcopq1torev9RjgRmv7KM8Xg9ipJYaJl41hskY),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=14&annotation=MW95T7K8))  ,Coastal flooding / storm,", Sea level rise, GDP, Parameter, Consumption",,"\mathrm{NPV}{\cal P}_{t,r}=\sum_{s=t}^{\circ}\Biggl(\frac{1}{1+\rho+\eta g_{t,r}}\Biggr)^{s-t}\pi_{r}\Delta S_{t}=\frac{1+\rho+\eta g_{t,r}}{\rho+\eta g_{t,r}}\pi_{r}\Delta S_{t,s}",Oui,
Net present cost of wetland loss,SLR.11,FUND v.3.8,"Time,Region,Annual unit wetland loss due to full coastal protection ,Sea level rise above pre-industrial levels ,Growth rate of per capita income ,Population growth rate ,Growth rate of wetland ,Rate of pure time preference ,Consumption elasticity of marginal utility ,Income elasticity of wetland value ,Population density elasticity of wetland value ,Size elasticity of wetland value ",Net present value of wetland loss at time ,,slr11.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/t4BFrpxCeKSd_bv3RqSJ-g/O0XiCur8x0YA7uTCStXVu1jZpMvst52nobzfI9a5qAOOP0ydou6jMfYaxB5sGVR9kl3Pj1hDdH2WGqLob-Ilzz3fawP26tuJY8IARjFzrOVpaTJn7jtqn_FlTEDI4MmG2tBg8F-xbIXlZJCDqHz6Bw/5Rv6dT0khqjh9SAsTMEwDGV5Y8OkEZeX57Ly18QPh7I),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=14&annotation=Z6DEIBXE))  ,Loss in freshwater ecosystem,", Natural capital, Sea level rise, GDP, Population, Parameter, Consumption",,"\left.N P V V W_{t,r}=\sum_{s=t}^{r}W_{t,r}V W_{s,r}\left(\frac{1}{1+\rho+\eta g_{t,r}}\right)^{s-t}=",Oui,
Net present cost of dryland loss,SLR.12,FUND v.3.8,"Time,Region,Current dryland loss without protection at time ,Current dryland value ,Growth rate of per capita income ,Rate of pure time preference ,Consumption elasticity of marginal utility ,Income elasticity of dryland value , Current income density growth rate ",Net present value of dryland loss at time ,,slr12.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/5PK6eB8w-cWwx1Re2pSnag/uHdvFFG9xLeerQVE1hy5JbpkWnWVB8qyue2CBEI8S3YW8k8_0-QmDMIgYF1jlW_qDxe9ZTCkAtl15n45LkjcVEVaAwh899Ei6_-wx_rzSBC81LmCscbXBt6NOuSYHjSzd8ZlHPEXQ4A84KwyjjPtSA/L_YJ2T1GBnOMP5R7UKRP_Wmw8blj8kZdmJEnR8v9bRs),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=15&annotation=S6374B6G))  ,Loss in terrestrial ecosystem,", Natural capital, GDP, Parameter, Consumption",,"{\mathrm{NPV}}U_{t,r}=\sum_{s=t}^{\infty}{\overline{{D}}}_{t,r}V D_{t,r}\left({\frac{1+\epsilon d_{t,r}}{1+\rho+\eta g_{t,r}}}\right)^{s-t}={\overline{{D}}}_{t,r}V D_{t,r}{\frac{1+\rho+\eta g_{t,r}}{\rho+\eta g_{t,r}-\epsilon d_{t,r}}}\ .",Oui,
Ecosystem loss,E.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population in region r at time t ,Change in regional mean temperature ,Number of species ,Parameter ,Parameter ,Parameter ,Parameter for number of species ",Value of the loss of ecosystems at time ,,e.1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/3cy-Z87nz-9WMaxzlF3tLg/sHRDXjhhzHSBtMat42HY4_VyaTj-XfT5wizysFfRmpHRbmoeeXV1K6HcafjVoQz1T_Rz48gBZvrGvAsZMMDb1mekHvUgy051sP9kGalITCTsELSYLm_c5YmrQh6mxRzN5tdLps5dqvr0WOzJdXgTRA/HP5vjjz7Q7MIM1MYTJuwtc7AJInhrBW_0VY_A9AfPMc),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=USHT735A))  ,Loss in terrestrial ecosystem,", GDP, Population, Temperature",,"E_{t,r}=\alpha P_{t,r}{\frac{y_{t,}^{\prime}{\cal Y}_{y}^{b}}{1+{\bf y}_{t,r}{\cal Y}_{y,r}}}{\frac{\Delta{\cal T}_{r}}{1+{\bf\bar{\Delta}}{2}{\cal Y}_{\tau}^{\prime}}}\bigg(1-\sigma+\sigma{\frac{B_{0}}{B_{t}^{\prime}}}\bigg)",Oui,
Number of species,E.2,FUND v.3.8,"Number of species ,Parameter ,Parameter ,Change in regional mean temperature ",Number of species ,,e.2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/9BAYFrfnYBAIL5-RexqYLg/f5_7d9AbXpQVuYcTYhg1ZPLdkKMkSfnFoBYDvrX2_8SZ5dBWFZRanoQXfginRVKgVOM80wRbOT1uaFM-9sFujJGjOzpJAkKjsNeP911yRGrNbX2lct_bYNeewH5nzwWJ-63FGwq6WcDcGlPtLKDY9A/YXboCdSNxtdOMBIaiFkKXsehdVv81s2IRw3GthKFxx4),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=C8CYP6ED))  ,Loss in terrestrial ecosystem,", Temperature",,"S H_{t,r}=\alpha_{r}Y_{1990,r}\frac{\mathrm{atan}\,T_{t}}{\mathrm{atan}\,1.0}\biggl(\frac{y_{t,r}}{y_{1990,r}}\biggr)^{\epsilon}\biggl(\frac{P_{t,r}}{P_{1990,r}}\biggr)^{\epsilon}\biggl\langle\prod_{s=19900}^{t}\biggr\}^{\epsilon}\frac{\ln^{2}{\pi^{2}\pi^{2}\pi^{2}\pi^{2}\pi^{2}\pi^{2}\rangle_{t}}\,\biggl(\frac{y_{t,r}}{p_{t}-\epsilon_{r}^{2}\sqrt{2\pi_{t}\pi_{t}}^{2}\biggr)^{2}}{\epsilon_{t}^{2}-\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}-\biggl)_{t}^{2}}_{t}\,{\epsilon_{t}{t}{t}{\mu}}\,\biggr)\,\,\rho_{\biggr)\,\,\frac{t}\,\biggl(\biggr",Oui,
Human health : diarrhoea,HD.1,FUND v.3.8,"Region,Population in region r at time t ,Time,Gross domestic product per capita,Regional mean temperature in degrees Celsius ,Rate of mortality from diarrhoea in 2000 in region r ,Income elasticity of diarrhoea mortality ,Parameter for non-linearity of response of diarrhoea mortality to regional warming ",Number of additional diarrhoea deaths ,,hd1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/3FlBUjodGsLl9bf-8a073w/T9H-8FxqOPHD5mP5QOcgtrPZy0JFwoNDFToNyVhH0d4d8p7Fe8vILdGGHbchtcRm5tCMqKj9JFALLlTkHqCglxebnM-EC7u1zqd4qTY2Bmfglhja9iwCdUeSARD8AdY-znKhI2_wxdKbWZvAJd4yxw/2JzNxCgKG6Dt6JlypjUU4j6w8mbboXRXQzrNl8vzEIU),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=IVEG9QJP))  ,"Food-borne diseases,Water-borne diseases",", Population, GDP, Temperature, Mortality",,"D_{t,r}^{d}=\mathcal{A}_{r}^{d}P_{t,r}\left(\frac{\mathcal{V}_{t,r}}{\mathcal{V}_{1990,r}}\right)^{s}\left(\frac{T_{t,r}}{\mathcal{V}_{p r e-i n d u s t r i a l,r}}\right)^{p}",Oui,
