,Real Name,Py Name,Subscripts,Units,Limits,Type,Subtype,Comment,Model,Equation,isEquation,Interest
27,FUND: A.2: EQ agricultural impact of the rate of climate change,fund_a2_eq_agricultural_impact_of_the_rate_of_climate_change,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, A.2,True,False
28,FUND: A.2: alpha parameter,fund_a2_alpha_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,,FUND, A.2,False,False
29,FUND: A.2: beta parameter,fund_a2_beta_parameter,,,"(nan, nan)",Constant,Normal,,FUND, A.2,False,False
30,FUND: A.2: rate of temperature change,fund_a2_rate_of_temperature_change,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, A.2,False,False
31,FUND: A.2: rho parameter,fund_a2_rho_parameter,,,"(nan, nan)",Constant,Normal,,FUND, A.2,False,False
32,FUND: A.2: temperature change delayed,fund_a2_temperature_change_delayed,['REGIONS 35 I'],,"(nan, nan)",Stateful,DelayFixed,,FUND, A.2,False,False
33,FUND: A.3: EQ agricultural impact of the level of climate change,fund_a3_eq_agricultural_impact_of_the_level_of_climate_change,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, A.3,True,False
34,FUND: A.3: delta l parameter,fund_a3_delta_l_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,,FUND, A.3,False,False
35,FUND: A.4: EQ agricultural imact of the fertilisation,fund_a4_eq_agricultural_imact_of_the_fertilisation,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, A.4,True,False
36,FUND: A.4: delta q parameter,fund_a4_delta_q_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,,FUND, A.4,False,False
37,FUND: A.4: gamma parameter,fund_a4_gamma_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,,FUND, A.4,False,False
38,FUND: E.1: B0 parameter,fund_e1_b0_parameter,,,"(nan, nan)",Constant,Normal,"B0​ =14,000,000 is a parameter.",FUND, E.1,False,False
39,FUND: E.1: EQ Space heating,fund_e1_eq_space_heating,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,SH denotes the decrease in expenditure on space heating (in 1995 US dollar) at time tt in region rr,FUND, E.1,True,False
40,FUND: E.1: EQ value of the loss of the ecosystems,fund_e1_eq_value_of_the_loss_of_the_ecosystems,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, E.1,True,False
41,FUND: E.1: alpha parameter - species value,fund_e1_alpha_parameter_species_value,,,"(nan, nan)",Constant,Normal,"α=50 (0-100, &gt;0) is a parameter such that the value equals $50 per person if per capita income equals the OECD average in 1990 (Pearce and Moran, 1994);",FUND, E.1,False,False
42,FUND: E.1: alpha parameter,fund_e1_alpha_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,"α is a parameter (in dollar per degree Celsius), that specifies the benchmark impact; see Table EFW, column 6-7",FUND, E.1,False,False
43,FUND: E.1: epsilon parameter,fund_e1_epsilon_parameter,,,"(nan, nan)",Constant,Normal,"ϵϵ is a parameter; it is the income elasticity of space heating demand; ϵϵ = 0.8 (0.1,&gt;0,&lt;1);",FUND, E.1,False,False
44,FUND: E.1: sigma parameter,fund_e1_sigma_parameter,,,"(nan, nan)",Constant,Normal,"σ=0.05 (triangular distribution,&gt;0,&lt;1) is a parameter, based on an expert guess; and",FUND, E.1,False,False
45,FUND: E.1: tau parameter,fund_e1_tau_parameter,,,"(nan, nan)",Constant,Normal,τ=0.025ºC is a parameter;,FUND, E.1,False,False
46,FUND: E.1: yb parameter,fund_e1_yb_parameter,,,"(nan, nan)",Constant,Normal,"yb = is a parameter; ybyb = 30,000,withastandarddeviationof30,000,withastandarddeviationof10,000; it is normally distributed, but knotted at zero.",FUND, E.1,False,False
47,FUND: E.2: Autonomous Energy Efficiency Improvement,fund_e2_autonomous_energy_efficiency_improvement,,,"(nan, nan)",Constant,Normal,TODO trouver comment coder cette variable,FUND, E.2,False,False
48,FUND: E.2: EQ Space cooling,fund_e2_eq_space_cooling,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,SC denotes the increase in expenditure on space cooling (1995 US dollar) at time tt in region rr;,FUND, E.2,True,False
49,FUND: E.2: EQ number of species,fund_e2_eq_number_of_species,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, E.2,True,False
50,FUND: E.2: alpha parameter,fund_e2_alpha_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,"α is a parameter (in dollar per degree Celsius), that specifies the benchmark impact; see Table EFW, column 6-7",FUND, E.2,False,False
51,FUND: E.2: beta parameter,fund_e2_beta_parameter,,,"(nan, nan)",Constant,Normal,ββ is a parameter; ββ = 1.5 (1.0-2.0);,FUND, E.2,False,False
52,FUND: E.2: gamma parameter,fund_e2_gamma_parameter,,,"(nan, nan)",Constant,Normal,"γ = 0.001 (0.0-0.002, &gt;0.0) is a parameter; and",FUND, E.2,False,False
53,FUND: E.2: number of species delayed,fund_e2_number_of_species_delayed,['REGIONS 35 I'],,"(nan, nan)",Stateful,DelayFixed,,FUND, E.2,False,False
54,FUND: E.2: rho parameter,fund_e2_rho_parameter,,,"(nan, nan)",Constant,Normal,"ρ = 0.003 (0.001-0.005, &gt;0.0) is a parameter;",FUND, E.2,False,False
55,FUND: ETS.1: Benchmark damage from extratropical cyclones,fund_ets1_benchmark_damage_from_extratropical_cyclones,['REGIONS 35 I'],,"(nan, nan)",Constant,Normal,"TODO régler ce problème GET DIRECT CONSTANTS( 'df_parameters/FUND/output/table_ets.csv' , 'Sheet1' , 'B2*' )",FUND, ETS.1,False,False
56,FUND: ETS.1: EQ extratropical storms,fund_ets1_eq_extratropical_storms,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, ETS.1,True,False
57,FUND: ETS.1: delta storm sensitivity to atmospheric concentrations,fund_ets1_delta_storm_sensitivity_to_atmospheric_concentrations,['REGIONS 35 I'],,"(nan, nan)",Constant,Normal,"TODO régler ce problème GET DIRECT CONSTANTS( 'df_parameters/FUND/output/table_ets.csv' , 'Sheet1' , 'D2*' )",FUND, ETS.1,False,False
58,FUND: ETS.1: epsilon income elasticity of extratropical storm damages,fund_ets1_epsilon_income_elasticity_of_extratropical_storm_damages,,,"(nan, nan)",Constant,Normal,"ϵ=-0.514(0.027,&gt;-1,&lt;0) is the income elasticity of extratropical storm damages (Toya and Skidmore 2007);",FUND, ETS.1,False,False
59,FUND: ETS.1: gamma parameter,fund_ets1_gamma_parameter,,,"(nan, nan)",Constant,Normal,,FUND, ETS.1,False,False
60,FUND: ETS.2: EQ mortality from extratropical storm,fund_ets2_eq_mortality_from_extratropical_storm,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, ETS.2,True,False
61,FUND: ETS.2: benchmark mortality from extratopical cyclones for region r,fund_ets2_benchmark_mortality_from_extratopical_cyclones_for_region_r,['REGIONS 35 I'],,"(nan, nan)",Constant,Normal,"GET DIRECT CONSTANTS( 'df_parameters/FUND/output/table_ets.csv' , 'Sheet1' , 'C2*' )",FUND, ETS.2,False,False
62,FUND: ETS.2: phi income elasticity of extratropical storm mortality,fund_ets2_phi_income_elasticity_of_extratropical_storm_mortality,,,"(nan, nan)",Constant,Normal,"φ=-0.501(0.051,&gt;-1,&lt;0) is the income elasticity of extratropical storm mortality (Toya and Skidmore 2007);",FUND, ETS.2,False,False
63,FUND: EXTRA: EQ SWITCH deaths,fund_extra_eq_switch_deaths,,,"(nan, nan)",Constant,Normal,,FUND, EXTRA,True,False
64,FUND: F.1: EQ Forestry change in consumer and producer surplus,fund_f1_eq_forestry_change_in_consumer_and_producer_surplus,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,FF denotes the change in forestry consumer and producer surplus (as a share of total income);,FUND, F.1,True,False
65,FUND: F.1: alpha parameter on global warming economic impact,fund_f1_alpha_parameter_on_global_warming_economic_impact,['REGIONS 35 I'],,"(nan, nan)",Constant,External,"α is a parameter, that measures the impact of climate change of a 1ºC global warming on economic welfare; see Table EFW;",FUND, F.1,False,False
66,FUND: F.1: beta parameter,fund_f1_beta_parameter,,,"(nan, nan)",Constant,Normal,β = 1 (0.5-1.5) is a parameter; this is an expert guess;,FUND, F.1,False,False
67,FUND: F.1: epsilon parameter,fund_f1_epsilon_parameter,,,"(nan, nan)",Constant,Normal,"ϵ = 0.31 (0.11-0.51) is a parameter, and equals the income elasticity for agriculture;",FUND, F.1,False,False
68,FUND: F.1: gamma parameter,fund_f1_gamma_parameter,,,"(nan, nan)",Constant,Normal,"γ = 0.44 (0.29-0.87) is a parameter; γγ is such that a doubling of the atmospheric concentration of carbon dioxide would lead to a change of forest value of 15% (10-30%); this parameter is taken from Gitay et al., (2001).",FUND, F.1,False,False
69,FUND: HD.1: EQ additional diarrhoea deaths,fund_hd1_eq_additional_diarrhoea_deaths,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, HD.1,True,False
70,FUND: HD.1: epsilon income elasticity of diarrhoea,fund_hd1_epsilon_income_elasticity_of_diarrhoea,,,"(nan, nan)",Constant,Normal,ϵϵ = -1.58 (0.23)is the income elasticity of diarrhoea mortality,FUND, HD.1,False,False
71,FUND: HD.1: eta linearity of the response,fund_hd1_eta_linearity_of_the_response,,,"(nan, nan)",Constant,Normal,"η = 1.14 (0.51) is a parameter, the degree of non-linearity of the response of diarrhoea mortality to regional warming.",FUND, HD.1,False,False
72,FUND: HD.1: mu mortality rate,fund_hd1_mu_mortality_rate,['REGIONS 35 I'],,"(nan, nan)",Constant,External,"μrd​ is the rate of mortality from diarrhoea in 2000 in region rr, taken from the WHO Global Burden of Disease (see Table HD, column 3);",FUND, HD.1,False,False
73,FUND: HV: Dengue deaths,fund_hv_dengue_deaths,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, HV,False,False
74,FUND: HV: EQ vector-born diseases,fund_hv_eq_vectorborn_diseases,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,"TODO watch the different significations of ""mean temperature / temperature change""",FUND, HV,True,False
75,FUND: HV: Malaria deaths,fund_hv_malaria_deaths,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, HV,False,False
76,FUND: HV: Schistomisais deaths,fund_hv_schistomisais_deaths,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, HV,False,False
77,FUND: HV: alpha dengue parameter,fund_hv_alpha_dengue_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,,FUND, HV,False,False
78,FUND: HV: alpha malaria parameter,fund_hv_alpha_malaria_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,,FUND, HV,False,False
79,FUND: HV: alpha schistomiasis parameter,fund_hv_alpha_schistomiasis_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,,FUND, HV,False,False
80,FUND: HV: beta dengue parameter,fund_hv_beta_dengue_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,,FUND, HV,False,False
81,FUND: HV: beta malaria parameter,fund_hv_beta_malaria_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,,FUND, HV,False,False
82,FUND: HV: beta schistomiasis parameter,fund_hv_beta_schistomiasis_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,,FUND, HV,False,False
83,FUND: HV: gamma parameter,fund_hv_gamma_parameter,,,"(nan, nan)",Constant,Normal,"γ = -2.65 (0.69) is the income elasticity of vector-borne mortality, taken from Link and Tol (2004), who regress malaria mortality on income for the 14 WHO regions..",FUND, HV,False,False
84,FUND: HV: non linearity parameter,fund_hv_non_linearity_parameter,,,"(nan, nan)",Constant,Normal,"β = 1.0 (0.5) is a parameter, the degree of non-linearity of mortality in warming; the parameter is calibrated to the results of Martens et al. (1997);",FUND, HV,False,False
85,FUND: MM.1: EQ Value of a statistical life,fund_mm1_eq_value_of_a_statistical_life,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, MM.1,True,False
86,FUND: MM.1: alpha parameter,fund_mm1_alpha_parameter,,,"(nan, nan)",Constant,Normal,"α=4992523 (2496261,&gt;0) is a parameter;",FUND, MM.1,False,False
87,FUND: MM.1: epsilon income elasticity of the value of a statistical life,fund_mm1_epsilon_income_elasticity_of_the_value_of_a_statistical_life,,,"(nan, nan)",Constant,Normal,"ϵ=1 (0.2,&gt;0) is the income elasticity of the value of a statistical life;",FUND, MM.1,False,False
88,FUND: MM.1: y0 normalisation constant,fund_mm1_y0_normalisation_constant,,,"(nan, nan)",Constant,Normal,y0​ =24963 is a normalisation constant;,FUND, MM.1,False,False
89,FUND: MM.2: EQ value of a year of morbidity,fund_mm2_eq_value_of_a_year_of_morbidity,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, MM.2,True,False
90,FUND: MM.2: beta parameter,fund_mm2_beta_parameter,,,"(nan, nan)",Constant,Normal,"β= 19970 (29955,&gt;0) is a parameter;",FUND, MM.2,False,False
91,FUND: MM.2: eta income elasticity of the value of a year of morbidity,fund_mm2_eta_income_elasticity_of_the_value_of_a_year_of_morbidity,,,"(nan, nan)",Constant,Normal,"η=1 (0.2,&gt;0) is the income elasticity of the value of a year of morbidity;",FUND, MM.2,False,False
92,FUND: MM.2: y0 normalisation constant,fund_mm2_y0_normalisation_constant,,,"(nan, nan)",Constant,Normal,y0​=24963 is a normalisation constant;,FUND, MM.2,False,False
93,FUND: SLR.10: EQ NPVVP,fund_slr10_eq_npvvp,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,"NPVVPNPVVP is the net present costs of coastal protection at time tt in region rr; NPVVP is calculated assuming annual costs to be constant. This is based on the following. Firstly, the coastal protection decision makers anticipate a linear sea level rise. Secondly, coastal protection entails large infrastructural works which last for decades. Thirdly, the considered costs are direct investments only, and technologies for coastal protection are mature. Throughout the analysis, a pure rate of time preference, ρρ, of 1% per year is used. The actual discount rate lies thus 1% above the growth rate of the economy, gg. The net present costs of protection PCPC equal",FUND, SLR.10,True,False
94,FUND: SLR.10: SLR delayed,fund_slr10_slr_delayed,,,"(nan, nan)",Stateful,DelayFixed,,FUND, SLR.10,False,False
95,FUND: SLR.10: annual unit cost of coastal protection,fund_slr10_annual_unit_cost_of_coastal_protection,['REGIONS 35 I'],,"(nan, nan)",Constant,External,πr​ is the annual unit cost of coastal protection (in million dollar per vertical metre) in region rr; note that is assumed to be constant over time;,FUND, SLR.10,False,False
96,FUND: SLR.10: delta SLR,fund_slr10_delta_slr,,,"(nan, nan)",Auxiliary,Normal,,FUND, SLR.10,False,False
97,FUND: SLR.10: epsilon parameter,fund_slr10_epsilon_parameter,,,"(nan, nan)",Constant,Normal,"ϵ is a parameter, the income elasticity of dryland value; ϵ=1.0ϵ=1.0, with a standard deviation of 0.2",FUND, SLR.10,False,False
98,FUND: SLR.10: eta parameter,fund_slr10_eta_parameter,,,"(nan, nan)",Constant,Normal,"η is a parameter, the consumption elasticity of marginal utility; ηη = 1",FUND, SLR.10,False,False
99,FUND: SLR.10: growth rate of per capita income,fund_slr10_growth_rate_of_per_capita_income,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, SLR.10,False,False
100,FUND: SLR.10: rho parameter,fund_slr10_rho_parameter,,,"(nan, nan)",Constant,Normal,"ρ is a parameter, the rate of pure time preference; ρρ = 0.03;",FUND, SLR.10,False,False
101,FUND: SLR.11: EQ NPVVW,fund_slr11_eq_npvvw,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,NPVVW denotes the net present value of wetland loss. at time tt in region rr;,FUND, SLR.11,True,False
102,FUND: SLR.11: SLR.11 delayed,fund_slr11_slr11_delayed,['REGIONS 35 I'],,"(nan, nan)",Stateful,DelayFixed,,FUND, SLR.11,False,False
103,FUND: SLR.11: annual unit wetland loss due to coastal protection,fund_slr11_annual_unit_wetland_loss_due_to_coastal_protection,,,"(nan, nan)",Constant,External,ωr​ is the annual unit wetland loss due to full coastal protection (in square kilometre per metre sea level rise) in region rr; note that is assumed to be constant over time;,FUND, SLR.11,False,False
104,FUND: SLR.11: beta paramater,fund_slr11_beta_paramater,,,"(nan, nan)",Constant,Normal,"β is a parameter, the income elasticity of wetland value; ββ = 1.16 (0.46,&gt;0); this value is taken from Brander et al. (2006);",FUND, SLR.11,False,False
105,FUND: SLR.11: delta parameter,fund_slr11_delta_parameter,,,"(nan, nan)",Constant,Normal,"δ is a parameter, the size elasticity of wetland value; δδ = -0.11 (0.05,&gt;-1,&lt;0); this value is taken from Brander et al. (2006);",FUND, SLR.11,False,False
106,FUND: SLR.11: gamma parameter,fund_slr11_gamma_parameter,,,"(nan, nan)",Constant,Normal,"γ is a parameter, the population density elasticity of wetland value; γγ = 0.47 (0.12,&gt;0,&lt;1); this value is taken from Brander et al. (2006);",FUND, SLR.11,False,False
107,FUND: SLR.12: EQ NPVVD,fund_slr12_eq_npvvd,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, SLR.12,True,False
108,FUND: SLR.12: SLR.12 delayed,fund_slr12_slr12_delayed,['REGIONS 35 I'],,"(nan, nan)",Stateful,DelayFixed,,FUND, SLR.12,False,False
109,FUND: SLR.12: income density growth rate,fund_slr12_income_density_growth_rate,,,"(nan, nan)",Constant,Normal,,FUND, SLR.12,False,False
110,FUND: SLR.1: EQ SLR dryland loss,fund_slr1_eq_slr_dryland_loss,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,"CDt,r​ is the potential cumulative dryland lost at time tt in region rr that would occur without protection;",FUND, SLR.1,True,False
111,FUND: SLR.1: delta parameter,fund_slr1_delta_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,δr​ is the dryland loss due to one metre sea level rise (in square kilometre per metre) in region rr;,FUND, SLR.1,False,False
112,FUND: SLR.1: gamma parameter,fund_slr1_gamma_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,"γr​ is a parameter, calibrated to a digital elevation model;",FUND, SLR.1,False,False
113,FUND: SLR.1: zeta parameter,fund_slr1_zeta_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,"is the maximum dryland loss in region rr, which is equal to the area in the year 2000.",FUND, SLR.1,False,False
114,FUND: SLR.2: CD delayed,fund_slr2_cd_delayed,['REGIONS 35 I'],,"(nan, nan)",Stateful,DelayFixed,,FUND, SLR.2,False,False
115,FUND: SLR.2: EQ Potential dryland loss,fund_slr2_eq_potential_dryland_loss,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,"Dt,r​ is potential dryland loss in year tt and region rr without protection;",FUND, SLR.2,True,False
116,FUND: SLR.3: EQ Actual dryland loss,fund_slr3_eq_actual_dryland_loss,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,"Dt,r​ is dryland loss in year tt and region rr;",FUND, SLR.3,True,False
117,FUND: SLR.4: Actual cumulative dryland lost delayed,fund_slr4_actual_cumulative_dryland_lost_delayed,['REGIONS 35 I'],,"(nan, nan)",Stateful,DelayFixed,"CDt,r​ is the actual cumulative dryland lost at time tt in region rr; - delayed",FUND, SLR.4,False,False
118,FUND: SLR.4: EQ Actual cumulative dryland lost,fund_slr4_eq_actual_cumulative_dryland_lost,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,"CDt,r​ is the actual cumulative dryland lost at time tt in region rr;",FUND, SLR.4,True,False
119,FUND: SLR.5: EQ Dryland value,fund_slr5_eq_dryland_value,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, SLR.5,True,False
120,FUND: SLR.5: YA0,fund_slr5_ya0,,,"(nan, nan)",Constant,Normal,"YA0​ =0.635 (million dollar per square kilometre) is a normalisation constant, the average incomde density of the OECD in 1990;",FUND, SLR.5,False,False
121,FUND: SLR.5: area,fund_slr5_area,,,"(nan, nan)",Constant,Normal,AA is the area (in square kilometre) at time tt of region rr;,FUND, SLR.5,False,False
122,FUND: SLR.5: epsilon income density elasticity of land value,fund_slr5_epsilon_income_density_elasticity_of_land_value,,,"(nan, nan)",Constant,Normal,"ϵ is a parameter, the income density elasticity of land value; ϵϵ = 1 (0.25).",FUND, SLR.5,False,False
123,FUND: SLR.5: phi parameter,fund_slr5_phi_parameter,,,"(nan, nan)",Constant,Normal,"φ is a parameter; φφ = 4 (2,&gt;0) million dollar per square kilometre (Darwin et al., 1995);",FUND, SLR.5,False,False
124,FUND: SLR.6: EQ Wetland loss,fund_slr6_eq_wetland_loss,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, SLR.6,True,False
125,FUND: SLR.6: omega M parameter,fund_slr6_omega_m_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,"ωM is a parameter, the annual unit wetland loss due to coastal squeeze (in square kilometre per metre) in region rr; note that is assumed to be constant over time.",FUND, SLR.6,False,False
126,FUND: SLR.6: omega S parameter,fund_slr6_omega_s_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,"ωS is a parameter, the annual unit wetland loss due to sea level rise (in square kilometre per metre) in region rr; note that is assumed to be constant over time;",FUND, SLR.6,False,False
127,FUND: SLR.7: EQ Cumulative wetland loss,fund_slr7_eq_cumulative_wetland_loss,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, SLR.7,True,False
128,FUND: SLR.7: Wm parameter,fund_slr7_wm_parameter,['REGIONS 35 I'],,"(nan, nan)",Constant,External,"WM is a parameter, the total amount of wetland that is exposed to sea level rise; this is assumed to be smaller than the total amount of wetlands in 1990.",FUND, SLR.7,False,False
129,FUND: SLR.7: cumulative wetland loss delayed,fund_slr7_cumulative_wetland_loss_delayed,['REGIONS 35 I'],,"(nan, nan)",Stateful,DelayFixed,,FUND, SLR.7,False,False
130,FUND: SLR.7: wetland loss delayed,fund_slr7_wetland_loss_delayed,['REGIONS 35 I'],,"(nan, nan)",Stateful,DelayFixed,,FUND, SLR.7,False,False
131,FUND: SLR.8: EQ Wetland value,fund_slr8_eq_wetland_value,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, SLR.8,True,False
132,FUND: SLR.8: W1990 parameter,fund_slr8_w1990_parameter,,,"(nan, nan)",Constant,External,,FUND, SLR.8,False,False
133,FUND: SLR.8: alpha parameter,fund_slr8_alpha_parameter,,,"(nan, nan)",Auxiliary,Normal,,FUND, SLR.8,False,False
134,FUND: SLR.8: alpha prime parameter,fund_slr8_alpha_prime_parameter,,,"(nan, nan)",Constant,Normal,,FUND, SLR.8,False,False
135,FUND: SLR.8: beta income elasticity of wetland value,fund_slr8_beta_income_elasticity_of_wetland_value,,,"(nan, nan)",Constant,Normal,,FUND, SLR.8,False,False
136,FUND: SLR.8: d0 normalisation constant,fund_slr8_d0_normalisation_constant,,,"(nan, nan)",Constant,Normal,,FUND, SLR.8,False,False
137,FUND: SLR.8: delta parameter,fund_slr8_delta_parameter,,,"(nan, nan)",Constant,Normal,,FUND, SLR.8,False,False
138,FUND: SLR.8: gamme parameter,fund_slr8_gamme_parameter,,,"(nan, nan)",Constant,Normal,,FUND, SLR.8,False,False
