 Year , USA  , CAN  , WEU  , JPK  , ANZ  , EEU  , FSU  , MDE  , CAM  , SAM  , SAS  , SEA  , CHI  , NAF  , SSA  , SIS  
 2170 , 2.46 , 2.49 , 2.40 , 2.22 , 2.27 , 2.27 , 2.14 , 2.58 , 2.62 , 2.59 , 2.20 , 2.14 , 2.41 , 2.59 , 2.64 , 2.74 
 2180 , 2.58 , 2.62 , 2.52 , 2.34 , 2.39 , 2.38 , 2.25 , 2.71 , 2.76 , 2.72 , 2.32 , 2.25 , 2.53 , 2.72 , 2.78 , 2.88 
 2190 , 2.71 , 2.75 , 2.65 , 2.45 , 2.51 , 2.50 , 2.37 , 2.85 , 2.90 , 2.86 , 2.43 , 2.36 , 2.66 , 2.86 , 2.92 , 3.02 
 2200 , 2.85 , 2.89 , 2.78 , 2.58 , 2.64 , 2.63 , 2.49 , 2.99 , 3.04 , 3.01 , 2.56 , 2.48 , 2.80 , 3.01 , 3.07 , 3.18 
 2210 , 3.00 , 3.04 , 2.92 , 2.71 , 2.77 , 2.77 , 2.62 , 3.14 , 3.20 , 3.16 , 2.69 , 2.61 , 2.94 , 3.16 , 3.23 , 3.34 
 2220 , 3.15 , 3.20 , 3.07 , 2.85 , 2.91 , 2.91 , 2.75 , 3.31 , 3.36 , 3.33 , 2.83 , 2.74 , 3.09 , 3.33 , 3.39 , 3.51 
 2230 , 3.31 , 3.36 , 3.23 , 3.00 , 3.06 , 3.06 , 2.89 , 3.47 , 3.54 , 3.50 , 2.97 , 2.88 , 3.25 , 3.50 , 3.56 , 3.69 
 2240 , 3.48 , 3.53 , 3.40 , 3.15 , 3.22 , 3.21 , 3.04 , 3.65 , 3.72 , 3.68 , 3.12 , 3.03 , 3.42 , 3.68 , 3.75 , 3.88 
 2250 , 3.66 , 3.71 , 3.57 , 3.31 , 3.38 , 3.38 , 3.20 , 3.84 , 3.91 , 3.86 , 3.28 , 3.19 , 3.59 , 3.86 , 3.94 , 4.08 
 2260 , 3.85 , 3.90 , 3.75 , 3.48 , 3.56 , 3.55 , 3.36 , 4.04 , 4.11 , 4.06 , 3.45 , 3.35 , 3.77 , 4.06 , 4.14 , 4.29 
 2270 , 4.05 , 4.10 , 3.94 , 3.66 , 3.74 , 3.73 , 3.53 , 4.24 , 4.32 , 4.27 , 3.63 , 3.52 , 3.97 , 4.27 , 4.35 , 4.51 
 2280 , 4.25 , 4.31 , 4.15 , 3.85 , 3.93 , 3.92 , 3.71 , 4.46 , 4.54 , 4.49 , 3.81 , 3.70 , 4.17 , 4.49 , 4.57 , 4.74 
 2290 , 4.47 , 4.53 , 4.36 , 4.04 , 4.13 , 4.12 , 3.90 , 4.69 , 4.77 , 4.72 , 4.01 , 3.89 , 4.38 , 4.72 , 4.81 , 4.98 
 2300 , 4.70 , 4.76 , 4.58 , 4.25 , 4.34 , 4.33 , 4.10 , 4.93 , 5.01 , 4.96 , 4.21 , 4.09 , 4.61 , 4.96 , 5.05 , 5.23 
